# Configuracion:
# Concentracion g/m^3_=_53300.0
# C_Vs_to_Am_M_A/Vsm_=_128687336408.14134
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136330.72772243456
# 
Resultados:
# tau_s_=_(1.17+/-0.22)e-09
# dphi_rad_=_6.28+/-0.00
# SAR_W/g_=_1.39+/-0.26
# Hc_kA/m_=_0.34+/-0.01
# Mr_A/m_=_54.17+/-1.51
# Suceptibilidad_a_M=0_=_0.1548+/-0.0298

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_110dA_100Mss_FSR010.txt		20.0	57.41	0.36	42176.30	2935.32	1.363017e+05	4.809313e+01	6.284435e+00	1.75	1.459384e-09	4402	1.623e-01
135kHz_110dA_100Mss_FSR011.txt		20.0	56.22	0.35	42176.30	2906.94	1.363327e+05	4.761213e+01	6.284347e+00	1.61	1.355686e-09	4401	1.605e-01
135kHz_110dA_100Mss_FSR012.txt		20.0	55.42	0.35	42176.30	2908.69	1.363017e+05	4.763249e+01	6.284062e+00	1.21	1.023061e-09	4402	1.597e-01
135kHz_110dA_100Mss_FSR013.txt		20.0	56.74	0.35	42176.30	2920.02	1.363327e+05	4.781679e+01	6.284223e+00	1.44	1.211649e-09	4401	1.611e-01
135kHz_110dA_100Mss_FSR014.txt		20.0	56.41	0.35	42176.30	2911.29	1.363327e+05	4.766268e+01	6.284333e+00	1.59	1.340022e-09	4401	1.598e-01
135kHz_110dA_100Mss_FSR015.txt		20.0	55.19	0.34	42176.30	2916.05	1.363327e+05	4.775598e+01	6.284297e+00	1.54	1.298324e-09	4401	1.607e-01
135kHz_110dA_100Mss_FSR016.txt		20.0	54.97	0.34	42176.30	2915.48	1.363327e+05	4.777068e+01	6.284308e+00	1.56	1.311269e-09	4401	1.618e-01
135kHz_110dA_100Mss_FSR017.txt		20.0	56.11	0.35	42176.30	2919.65	1.363327e+05	4.781574e+01	6.284663e+00	2.05	1.724961e-09	4401	1.608e-01
135kHz_110dA_100Mss_FSR018.txt		20.0	55.27	0.35	42176.30	2905.32	1.363327e+05	4.756381e+01	6.284218e+00	1.43	1.205420e-09	4401	1.600e-01
135kHz_110dA_100Mss_FSR019.txt		20.0	54.35	0.34	42176.30	2907.74	1.363017e+05	4.762826e+01	6.284363e+00	1.63	1.375310e-09	4402	1.600e-01
135kHz_110dA_100Mss_FSR020.txt		20.0	54.16	0.34	42176.30	2908.21	1.363017e+05	4.763801e+01	6.284277e+00	1.51	1.274141e-09	4402	1.600e-01
135kHz_110dA_100Mss_FSR021.txt		20.0	54.27	0.34	42176.30	2906.05	1.363017e+05	4.760656e+01	6.284273e+00	1.51	1.269934e-09	4402	1.601e-01
135kHz_110dA_100Mss_FSR022.txt		20.0	54.18	0.34	42176.30	2905.09	1.363327e+05	4.758496e+01	6.284219e+00	1.43	1.206909e-09	4401	1.604e-01
135kHz_110dA_100Mss_FSR023.txt		20.0	53.65	0.33	42176.30	2914.97	1.363327e+05	4.776152e+01	6.284144e+00	1.33	1.119708e-09	4401	1.621e-01
135kHz_110dA_100Mss_FSR024.txt		20.0	53.92	0.34	42176.30	2908.71	1.363327e+05	4.763017e+01	6.283961e+00	1.07	9.053444e-10	4401	1.609e-01
135kHz_110dA_100Mss_FSR025.txt		20.0	53.68	0.33	42176.30	2912.22	1.363327e+05	4.769575e+01	6.284067e+00	1.22	1.029549e-09	4401	1.610e-01
135kHz_110dA_100Mss_FSR026.txt		20.0	54.13	0.34	42176.30	2909.31	1.363327e+05	4.765026e+01	6.284232e+00	1.45	1.221867e-09	4401	1.609e-01
135kHz_110dA_100Mss_FSR027.txt		20.0	53.46	0.33	42176.30	2907.63	1.363327e+05	4.761492e+01	6.284022e+00	1.16	9.773591e-10	4401	1.604e-01
135kHz_110dA_100Mss_FSR028.txt		20.0	53.94	0.34	42176.30	2907.27	1.363327e+05	4.760393e+01	6.284129e+00	1.31	1.101865e-09	4401	1.601e-01
135kHz_110dA_100Mss_FSR029.txt		20.0	51.72	0.32	42176.30	2908.79	1.363017e+05	4.764995e+01	6.283950e+00	1.06	8.924538e-10	4402	1.613e-01
135kHz_110dA_100Mss_FSR030.txt		20.0	52.22	0.33	42176.30	2902.78	1.363017e+05	4.755941e+01	6.284141e+00	1.32	1.115915e-09	4402	0.000e+00
135kHz_110dA_100Mss_FSR031.txt		20.0	53.57	0.33	42176.30	2910.57	1.363327e+05	4.768450e+01	6.284355e+00	1.62	1.365721e-09	4401	1.613e-01
135kHz_110dA_100Mss_FSR032.txt		20.0	54.07	0.34	42176.30	2907.15	1.363327e+05	4.758736e+01	6.284183e+00	1.38	1.164938e-09	4401	1.601e-01
135kHz_110dA_100Mss_FSR033.txt		20.0	52.58	0.33	42176.30	2911.94	1.363327e+05	4.768586e+01	6.284259e+00	1.49	1.253212e-09	4401	1.609e-01
135kHz_110dA_100Mss_FSR034.txt		20.0	53.06	0.33	42176.30	2904.06	1.363327e+05	4.755078e+01	6.284119e+00	1.29	1.089790e-09	4401	1.603e-01
135kHz_110dA_100Mss_FSR035.txt		20.0	51.86	0.33	42176.30	2899.17	1.363017e+05	4.747805e+01	6.284071e+00	1.22	1.033615e-09	4402	1.594e-01
135kHz_110dA_100Mss_FSR036.txt		20.0	51.74	0.32	42176.30	2901.01	1.363327e+05	4.748370e+01	6.283763e+00	0.80	6.740671e-10	4401	1.594e-01
135kHz_110dA_100Mss_FSR037.txt		20.0	52.42	0.33	42176.30	2901.49	1.363327e+05	4.749679e+01	6.283788e+00	0.83	7.038764e-10	4401	1.599e-01
