# Configuracion:
# Concentracion g/m^3_=_53300.0
# C_Vs_to_Am_M_A/Vsm_=_128687336408.14134
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136110.61451170399
# 
Resultados:
# tau_s_=_(4.71+/-0.26)e-09
# dphi_rad_=_6.29+/-0.00
# SAR_W/g_=_2.86+/-0.16
# Hc_kA/m_=_0.40+/-0.01
# Mr_A/m_=_63.75+/-1.08
# Suceptibilidad_a_M=0_=_0.1608+/-0.0004

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_070dA_100Mss_FSR008.txt		20.0	64.83	0.41	27311.10	2355.83	1.360853e+05	3.775428e+01	6.287205e+00	2.85	4.700363e-09	4409	1.606e-01
135kHz_070dA_100Mss_FSR009.txt		20.0	64.13	0.40	27311.10	2363.19	1.360853e+05	3.786510e+01	6.287180e+00	2.84	4.671086e-09	4409	1.614e-01
135kHz_070dA_100Mss_FSR010.txt		20.0	64.15	0.40	27311.10	2360.81	1.360853e+05	3.782749e+01	6.287096e+00	2.78	4.573215e-09	4409	1.610e-01
135kHz_070dA_100Mss_FSR011.txt		20.0	64.25	0.40	27311.10	2361.30	1.360853e+05	3.784360e+01	6.287251e+00	2.89	4.754295e-09	4409	1.613e-01
135kHz_070dA_100Mss_FSR012.txt		20.0	64.49	0.40	27311.10	2355.46	1.360853e+05	3.774416e+01	6.287339e+00	2.95	4.857095e-09	4409	1.608e-01
135kHz_070dA_100Mss_FSR013.txt		20.0	65.31	0.41	27311.10	2358.49	1.361162e+05	3.778067e+01	6.287439e+00	3.02	4.974308e-09	4408	1.607e-01
135kHz_070dA_100Mss_FSR014.txt		20.0	63.53	0.40	27311.10	2358.86	1.361162e+05	3.778463e+01	6.287025e+00	2.73	4.490425e-09	4408	1.608e-01
135kHz_070dA_100Mss_FSR015.txt		20.0	66.02	0.41	27311.10	2361.76	1.360853e+05	3.784384e+01	6.287807e+00	3.29	5.404901e-09	4409	1.612e-01
135kHz_070dA_100Mss_FSR016.txt		20.0	64.04	0.40	27311.10	2364.75	1.360853e+05	3.789796e+01	6.287228e+00	2.88	4.727206e-09	4409	1.612e-01
135kHz_070dA_100Mss_FSR017.txt		20.0	65.46	0.41	27311.10	2360.38	1.360853e+05	3.782328e+01	6.287750e+00	3.24	5.338396e-09	4409	1.612e-01
135kHz_070dA_100Mss_FSR018.txt		20.0	64.67	0.40	27311.10	2362.47	1.361162e+05	3.785281e+01	6.287239e+00	2.88	4.740769e-09	4408	1.610e-01
135kHz_070dA_100Mss_FSR019.txt		20.0	64.42	0.40	27311.10	2358.70	1.361162e+05	3.778814e+01	6.287262e+00	2.90	4.767579e-09	4408	1.612e-01
135kHz_070dA_100Mss_FSR020.txt		20.0	62.84	0.39	27311.10	2357.50	1.360853e+05	3.776989e+01	6.287064e+00	2.75	4.535483e-09	4409	1.610e-01
135kHz_070dA_100Mss_FSR021.txt		20.0	62.40	0.39	27311.10	2359.98	1.360853e+05	3.782004e+01	6.286936e+00	2.67	4.386061e-09	4409	1.611e-01
135kHz_070dA_100Mss_FSR022.txt		20.0	64.32	0.40	27311.10	2355.49	1.360853e+05	3.773497e+01	6.287489e+00	3.05	5.033325e-09	4409	1.602e-01
135kHz_070dA_100Mss_FSR023.txt		20.0	64.22	0.40	27311.10	2355.87	1.360853e+05	3.775236e+01	6.287349e+00	2.95	4.869330e-09	4409	1.608e-01
135kHz_070dA_100Mss_FSR024.txt		20.0	62.49	0.39	27311.10	2354.12	1.360853e+05	3.772805e+01	6.286899e+00	2.63	4.343128e-09	4409	1.611e-01
135kHz_070dA_100Mss_FSR025.txt		20.0	65.30	0.41	27311.10	2355.44	1.361162e+05	3.773372e+01	6.287372e+00	2.97	4.895781e-09	4408	1.608e-01
135kHz_070dA_100Mss_FSR026.txt		20.0	63.56	0.40	27311.10	2360.31	1.360853e+05	3.781905e+01	6.287182e+00	2.84	4.673935e-09	4409	1.613e-01
135kHz_070dA_100Mss_FSR027.txt		20.0	64.20	0.40	27311.10	2356.86	1.360853e+05	3.776820e+01	6.287384e+00	2.98	4.910086e-09	4409	1.610e-01
135kHz_070dA_100Mss_FSR028.txt		20.0	62.43	0.39	27311.10	2353.66	1.360853e+05	3.771287e+01	6.286899e+00	2.63	4.343572e-09	4409	1.604e-01
135kHz_070dA_100Mss_FSR029.txt		20.0	63.86	0.40	27311.10	2356.55	1.361162e+05	3.773936e+01	6.287300e+00	2.92	4.812086e-09	4408	1.607e-01
135kHz_070dA_100Mss_FSR030.txt		20.0	62.63	0.39	27311.10	2354.42	1.360853e+05	3.771520e+01	6.287070e+00	2.75	4.543098e-09	4409	1.603e-01
135kHz_070dA_100Mss_FSR031.txt		20.0	61.83	0.39	27311.10	2355.28	1.360853e+05	3.773327e+01	6.286818e+00	2.58	4.247978e-09	4409	1.609e-01
135kHz_070dA_100Mss_FSR032.txt		20.0	63.48	0.40	27311.10	2353.69	1.361162e+05	3.769967e+01	6.287263e+00	2.89	4.768692e-09	4408	1.601e-01
135kHz_070dA_100Mss_FSR033.txt		20.0	61.82	0.39	27311.10	2353.56	1.360853e+05	3.770241e+01	6.286919e+00	2.65	4.366119e-09	4409	1.605e-01
135kHz_070dA_100Mss_FSR034.txt		20.0	62.76	0.39	27311.10	2353.03	1.360853e+05	3.769370e+01	6.287296e+00	2.91	4.807525e-09	4409	1.604e-01
135kHz_070dA_100Mss_FSR035.txt		20.0	62.97	0.39	27311.10	2354.72	1.361162e+05	3.771221e+01	6.287080e+00	2.76	4.555070e-09	4408	1.603e-01
135kHz_070dA_100Mss_FSR036.txt		20.0	63.29	0.40	27311.10	2354.21	1.361162e+05	3.771565e+01	6.287048e+00	2.74	4.517129e-09	4408	1.606e-01
135kHz_070dA_100Mss_FSR037.txt		20.0	62.78	0.39	27311.10	2353.10	1.360853e+05	3.770297e+01	6.287233e+00	2.87	4.733927e-09	4409	1.605e-01
