# Configuracion:
# Concentracion g/m^3_=_53300.0
# C_Vs_to_Am_M_A/Vsm_=_128687336408.14134
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_135971.6482400123
# 
Resultados:
# tau_s_=_(2.98+/-0.03)e-08
# dphi_rad_=_6.31+/-0.00
# SAR_W/g_=_4.56+/-0.06
# Hc_kA/m_=_0.49+/-0.00
# Mr_A/m_=_84.96+/-0.68
# Suceptibilidad_a_M=0_=_0.1751+/-0.0002

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_030dA_100Mss_FSA005.txt		20.0	85.03	0.49	12445.90	1320.65	1.359311e+05	2.091269e+01	6.308712e+00	4.57	2.989242e-08	4414	1.749e-01
135kHz_030dA_100Mss_FSA006.txt		20.0	85.68	0.49	12445.90	1325.74	1.359311e+05	2.099480e+01	6.308881e+00	4.61	3.009077e-08	4414	1.755e-01
135kHz_030dA_100Mss_FSA007.txt		20.0	86.12	0.50	12445.90	1324.93	1.359619e+05	2.098027e+01	6.309011e+00	4.64	3.024270e-08	4413	1.752e-01
135kHz_030dA_100Mss_FSA008.txt		20.0	85.24	0.49	12445.90	1324.91	1.359311e+05	2.098481e+01	6.308767e+00	4.59	2.995680e-08	4414	1.755e-01
135kHz_030dA_100Mss_FSA009.txt		20.0	86.67	0.50	12445.90	1324.11	1.359619e+05	2.096938e+01	6.309299e+00	4.69	3.058077e-08	4413	1.752e-01
135kHz_030dA_100Mss_FSA010.txt		20.0	85.87	0.49	12445.90	1324.33	1.359311e+05	2.097836e+01	6.309111e+00	4.65	3.035980e-08	4414	1.754e-01
135kHz_030dA_100Mss_FSA011.txt		20.0	85.05	0.49	12445.90	1323.73	1.359311e+05	2.096510e+01	6.308723e+00	4.58	2.990615e-08	4414	1.749e-01
135kHz_030dA_100Mss_FSA012.txt		20.0	85.68	0.49	12445.90	1323.40	1.359311e+05	2.096085e+01	6.308946e+00	4.62	3.016761e-08	4414	1.751e-01
135kHz_030dA_100Mss_FSA013.txt		20.0	85.60	0.49	12445.90	1324.30	1.359311e+05	2.097416e+01	6.309306e+00	4.69	3.058793e-08	4414	1.749e-01
135kHz_030dA_100Mss_FSA014.txt		20.0	83.98	0.48	12445.90	1322.80	1.359311e+05	2.095098e+01	6.308171e+00	4.48	2.925831e-08	4414	1.754e-01
135kHz_030dA_100Mss_FSA015.txt		20.0	85.00	0.49	12445.90	1324.12	1.359311e+05	2.096644e+01	6.308691e+00	4.57	2.986782e-08	4414	1.752e-01
135kHz_030dA_100Mss_FSA016.txt		20.0	84.85	0.49	12445.90	1323.14	1.359311e+05	2.095476e+01	6.308657e+00	4.57	2.982813e-08	4414	1.749e-01
135kHz_030dA_100Mss_FSA017.txt		20.0	84.91	0.49	12445.90	1322.81	1.359311e+05	2.095105e+01	6.308489e+00	4.53	2.963105e-08	4414	1.755e-01
135kHz_030dA_100Mss_FSA018.txt		20.0	85.49	0.49	12445.90	1321.96	1.359619e+05	2.092902e+01	6.308898e+00	4.60	3.011071e-08	4413	1.749e-01
135kHz_030dA_100Mss_FSA019.txt		20.0	84.68	0.49	12445.90	1322.00	1.359311e+05	2.093695e+01	6.308484e+00	4.53	2.962535e-08	4414	1.752e-01
135kHz_030dA_100Mss_FSA020.txt		20.0	85.12	0.49	12445.90	1322.20	1.359311e+05	2.093846e+01	6.308663e+00	4.56	2.983522e-08	4414	1.750e-01
135kHz_030dA_100Mss_FSA021.txt		20.0	84.36	0.49	12445.90	1321.80	1.359311e+05	2.093421e+01	6.308552e+00	4.54	2.970482e-08	4414	1.751e-01
135kHz_030dA_100Mss_FSA022.txt		20.0	84.63	0.49	12445.90	1322.29	1.359311e+05	2.094648e+01	6.308335e+00	4.51	2.945188e-08	4414	1.753e-01
